Country Name,Country Code,Time,Time Code,Control of Corruption: Percentile Rank [CC.PER.RNK],Government Effectiveness: Percentile Rank [GE.PER.RNK],Political Stability and Absence of Violence/Terrorism: Percentile Rank [PV.PER.RNK],Regulatory Quality: Percentile Rank [RQ.PER.RNK],Rule of Law: Percentile Rank [RL.PER.RNK],Voice and Accountability: Percentile Rank [VA.PER.RNK]
Denmark,DNK,2020,YR2020,100,97.6190490722656,78.301887512207,97.6190490722656,98.0952377319336,97.5845413208008
Denmark,DNK,2021,YR2021,100,98.5714263916016,80.1886825561523,97.6190490722656,99.0476226806641,98.5507278442383
Denmark,DNK,2022,YR2022,100,98.5849075317383,77.3584899902344,98.5849075317383,99.5283050537109,98.0676345825195
Sweden,SWE,1996,YR1996,98.9247283935547,97.2677612304688,99.4680862426758,89.1304321289063,96.9849243164063,95.5
Sweden,SWE,1998,YR1998,98.9304809570313,95.62841796875,96.2765960693359,86.4130401611328,96,98.0099487304688
Sweden,SWE,2000,YR2000,98.9361724853516,95.62841796875,94.1798934936523,89.6739120483398,97.0149230957031,98.5074615478516
Sweden,SWE,2002,YR2002,97.8835983276367,98.3783798217773,95.7671966552734,94.594596862793,96.5174102783203,98.5074615478516
Sweden,SWE,2003,YR2003,97.3544998168945,98.3783798217773,96.4824142456055,94.0540542602539,98.0099487304688,98.0099487304688
Sweden,SWE,2004,YR2004,97.5369491577148,98.5074615478516,96.6019439697266,95.5223846435547,97.5961532592773,99.038459777832
Sweden,SWE,2005,YR2005,97.5609741210938,97.5490188598633,94.6601943969727,92.6470565795898,96.172248840332,96.6346130371094
Sweden,SWE,2006,YR2006,98.5365829467773,95.6097564697266,95.6521759033203,92.1568603515625,97.6076583862305,96.6346130371094
Sweden,SWE,2007,YR2007,98.5436859130859,98.5436859130859,95.6521759033203,93.689323425293,98.0861206054688,98.5576934814453
Sweden,SWE,2008,YR2008,97.5728149414063,98.0582504272461,90.3846130371094,95.1456298828125,99.038459777832,98.5576934814453
Sweden,SWE,2009,YR2009,99.0430603027344,98.5645904541016,87.2037887573242,95.6937789916992,99.5260696411133,98.5782012939453
Sweden,SWE,2010,YR2010,99.0476226806641,98.5645904541016,87.6777267456055,95.2153091430664,99.5260696411133,98.1042633056641
Sweden,SWE,2011,YR2011,98.5782012939453,98.5782012939453,92.4170608520508,99.052131652832,99.06103515625,99.530517578125
